practice_id,month,fiscal_year,cohort,acquired_month,region,revenue,visits,reviews,rating,in_group
P001,2022-10,FY23,Legacy,,Scotland,96388.0,1004.0,26,4.83,1
P001,2022-11,FY23,Legacy,,Scotland,96035.0,1000.0,19,4.83,1
P001,2022-12,FY23,Legacy,,Scotland,86709.0,903.0,16,4.83,1
P001,2023-01,FY23,Legacy,,Scotland,98296.0,1024.0,31,4.83,1
P001,2023-02,FY23,Legacy,,Scotland,91647.0,955.0,15,4.83,1
P001,2023-03,FY23,Legacy,,Scotland,97574.0,1016.0,14,4.83,1
P001,2023-04,FY24,Legacy,,Scotland,105844.0,1103.0,19,4.83,1
P001,2023-05,FY24,Legacy,,Scotland,97444.0,1015.0,25,4.83,1
P001,2023-06,FY24,Legacy,,Scotland,108487.0,1130.0,22,4.83,1
P001,2023-07,FY24,Legacy,,Scotland,113726.0,1185.0,21,4.83,1
P001,2023-08,FY24,Legacy,,Scotland,104675.0,1090.0,25,4.83,1
P001,2023-09,FY24,Legacy,,Scotland,102365.0,1066.0,22,4.83,1
P001,2023-10,FY24,Legacy,,Scotland,106846.0,1113.0,20,4.83,1
P001,2023-11,FY24,Legacy,,Scotland,90943.0,947.0,29,4.83,1
P001,2023-12,FY24,Legacy,,Scotland,88660.0,924.0,31,4.83,1
P001,2024-01,FY24,Legacy,,Scotland,105753.0,1102.0,21,4.83,1
P001,2024-02,FY24,Legacy,,Scotland,92600.0,965.0,12,4.83,1
P001,2024-03,FY24,Legacy,,Scotland,120484.0,1255.0,28,4.83,1
P001,2024-04,FY25,Legacy,,Scotland,105954.0,1104.0,20,4.83,1
P001,2024-05,FY25,Legacy,,Scotland,117184.0,1221.0,26,4.83,1
P001,2024-06,FY25,Legacy,,Scotland,117465.0,1224.0,26,4.83,1
P001,2024-07,FY25,Legacy,,Scotland,112317.0,1170.0,29,4.83,1
P001,2024-08,FY25,Legacy,,Scotland,107982.0,1125.0,23,4.83,1
P001,2024-09,FY25,Legacy,,Scotland,107744.0,1122.0,31,4.83,1
P001,2024-10,FY25,Legacy,,Scotland,107856.0,1124.0,18,4.83,1
P001,2024-11,FY25,Legacy,,Scotland,109358.0,1139.0,20,4.83,1
P001,2024-12,FY25,Legacy,,Scotland,97951.0,1020.0,26,4.83,1
P001,2025-01,FY25,Legacy,,Scotland,94970.0,989.0,21,4.83,1
P001,2025-02,FY25,Legacy,,Scotland,106078.0,1105.0,27,4.83,1
P001,2025-03,FY25,Legacy,,Scotland,116426.0,1213.0,22,4.83,1
P002,2022-10,FY23,Legacy,,South East,84375.0,879.0,11,4.59,1
P002,2022-11,FY23,Legacy,,South East,75626.0,788.0,19,4.59,1
P002,2022-12,FY23,Legacy,,South East,73606.0,767.0,13,4.59,1
P002,2023-01,FY23,Legacy,,South East,73423.0,765.0,17,4.59,1
P002,2023-02,FY23,Legacy,,South East,79054.0,823.0,14,4.59,1
P002,2023-03,FY23,Legacy,,South East,88435.0,921.0,21,4.59,1
P002,2023-04,FY24,Legacy,,South East,82663.0,861.0,19,4.59,1
P002,2023-05,FY24,Legacy,,South East,100391.0,1046.0,23,4.59,1
P002,2023-06,FY24,Legacy,,South East,94873.0,988.0,26,4.59,1
P002,2023-07,FY24,Legacy,,South East,80310.0,837.0,14,4.59,1
P002,2023-08,FY24,Legacy,,South East,83455.0,869.0,18,4.59,1
P002,2023-09,FY24,Legacy,,South East,84802.0,883.0,14,4.59,1
P002,2023-10,FY24,Legacy,,South East,88446.0,921.0,13,4.59,1
P002,2023-11,FY24,Legacy,,South East,98005.0,1021.0,23,4.59,1
P002,2023-12,FY24,Legacy,,South East,78019.0,813.0,16,4.59,1
P002,2024-01,FY24,Legacy,,South East,80570.0,839.0,24,4.59,1
P002,2024-02,FY24,Legacy,,South East,86315.0,899.0,15,4.59,1
P002,2024-03,FY24,Legacy,,South East,94767.0,987.0,27,4.59,1
P002,2024-04,FY25,Legacy,,South East,90795.0,946.0,26,4.59,1
P002,2024-05,FY25,Legacy,,South East,96305.0,1003.0,22,4.59,1
P002,2024-06,FY25,Legacy,,South East,93648.0,976.0,21,4.59,1
P002,2024-07,FY25,Legacy,,South East,89719.0,935.0,16,4.59,1
P002,2024-08,FY25,Legacy,,South East,100904.0,1051.0,23,4.59,1
P002,2024-09,FY25,Legacy,,South East,83273.0,867.0,19,4.59,1
P002,2024-10,FY25,Legacy,,South East,95803.0,998.0,13,4.59,1
P002,2024-11,FY25,Legacy,,South East,89902.0,936.0,14,4.59,1
P002,2024-12,FY25,Legacy,,South East,87473.0,911.0,17,4.59,1
P002,2025-01,FY25,Legacy,,South East,82211.0,856.0,23,4.59,1
P002,2025-02,FY25,Legacy,,South East,91673.0,955.0,22,4.59,1
P002,2025-03,FY25,Legacy,,South East,93457.0,974.0,27,4.59,1
P003,2022-10,FY23,Legacy,,Scotland,92785.0,967.0,20,4.46,1
P003,2022-11,FY23,Legacy,,Scotland,83142.0,866.0,17,4.46,1
P003,2022-12,FY23,Legacy,,Scotland,83402.0,869.0,15,4.46,1
P003,2023-01,FY23,Legacy,,Scotland,83767.0,873.0,11,4.46,1
P003,2023-02,FY23,Legacy,,Scotland,84829.0,884.0,22,4.46,1
P003,2023-03,FY23,Legacy,,Scotland,92642.0,965.0,24,4.46,1
P003,2023-04,FY24,Legacy,,Scotland,92283.0,961.0,24,4.46,1
P003,2023-05,FY24,Legacy,,Scotland,79846.0,832.0,19,4.46,1
P003,2023-06,FY24,Legacy,,Scotland,92345.0,962.0,18,4.46,1
P003,2023-07,FY24,Legacy,,Scotland,81700.0,851.0,18,4.46,1
P003,2023-08,FY24,Legacy,,Scotland,96708.0,1007.0,19,4.46,1
P003,2023-09,FY24,Legacy,,Scotland,85326.0,889.0,16,4.46,1
P003,2023-10,FY24,Legacy,,Scotland,84244.0,878.0,19,4.46,1
P003,2023-11,FY24,Legacy,,Scotland,84014.0,875.0,20,4.46,1
P003,2023-12,FY24,Legacy,,Scotland,77221.0,804.0,17,4.46,1
P003,2024-01,FY24,Legacy,,Scotland,88765.0,925.0,20,4.46,1
P003,2024-02,FY24,Legacy,,Scotland,88098.0,918.0,19,4.46,1
