practice_id,name,region,cohort,acquired_month,base_rev,quality
P001,Latimer Animal Hospital,Scotland,Legacy,,99215.06186297665,4.826153364510521
P002,Ilkley Veterinary Centre,South East,Legacy,,85379.02966545254,4.592209065290185
P003,Draycott Veterinary Surgery,Scotland,Legacy,,83521.95178829446,4.464697735744677
P004,Ilkley Veterinary Surgery,North West,Legacy,,71226.51898709532,4.471703357823092
P005,Alderley Vet Clinic,North East,Legacy,,67456.23584193444,4.274605773234213
P006,Coniston Veterinary Centre,North East,Legacy,,79320.08462663734,4.146126607950619
P007,Langdale Animal Care,Wales,Legacy,,53881.77422383652,4.498172100952624
P008,Newbold Vets,North West,Legacy,,66929.02720830413,4.376120224094763
P009,Langdale Veterinary Centre,North East,Legacy,,46898.618073775906,4.432931037748562
P010,Quorn Vet Clinic,South West,Legacy,,109235.67661281578,4.111047045558203
P011,Draycott Vets,Midlands,Legacy,,72550.6173625128,4.3905466093196726
P012,Marlowe Veterinary Centre,North East,Legacy,,82860.0556143784,4.410170311723839
P013,Brackley Vets,Midlands,Legacy,,43938.86748595861,4.02828570468623
P014,Ashgrove Veterinary Practice,North East,Legacy,,119421.76184319185,4.145195525013441
P015,Tavistock Vet Clinic,South West,Legacy,,64504.94610494984,4.699546059125993
P016,Coniston Animal Hospital,Midlands,Legacy,,61558.74515833332,4.215386781391722
P017,Tavistock Vets,South West,Legacy,,103392.31907496863,4.4603953301954
P018,Harlow Animal Care,South West,Legacy,,101824.66679113219,4.60934362697839
P019,Newbold Vet Clinic,North West,Legacy,,86306.74700166358,4.44578666814849
P020,Marlowe Veterinary Centre,South West,Legacy,,76341.67099407189,4.75752645920364
P021,Newbold Vets,Wales,Legacy,,59578.170367652776,4.407387961526986
P022,Ilkley Veterinary Surgery,North West,Legacy,,80285.19129357739,4.338989576946259
P023,Fairhurst Vet Clinic,Scotland,Legacy,,82286.57470418303,4.726965948027121
P024,Quorn Animal Care,North East,Legacy,,128460.44544571986,4.414763104597751
P025,Tavistock Vets,Midlands,Legacy,,67435.45605232619,4.576572687331748
P026,Quorn Veterinary Practice,South East,Legacy,,64359.93528095911,4.636285757920747
P027,Marlowe Veterinary Centre,Midlands,Legacy,,87133.1208109476,3.7915563878272476
P028,Dunmore Veterinary Practice,Scotland,Legacy,,49662.20576509408,4.348351680386436
P029,Cranfield Pet Clinic,North West,Legacy,,79094.67077129878,4.174289316988427
P030,Ferndale Pet Clinic,South West,Legacy,,44514.18970758379,4.154673326250467
P031,Uppingham Veterinary Surgery,South East,Legacy,,81447.05159023099,4.727505346793279
P032,Kinross Veterinary Centre,North East,Legacy,,75882.25908927798,4.59531232508892
P033,Harlow Veterinary Centre,Wales,Legacy,,60640.13145339644,4.443482946900404
P034,Coniston Veterinary Centre,South East,Legacy,,67599.40179193053,4.4836961523057575
P035,Newbold Animal Care,South East,Legacy,,49455.88860129597,4.233809202898549
