signal,label,source,family,reliability,unit,month,fiscal_year,value,peer_value,n,latency
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2022-10,FY23,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2022-11,FY23,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2022-12,FY23,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-01,FY23,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-02,FY23,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-03,FY23,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-04,FY24,1.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-05,FY24,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-06,FY24,4.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-07,FY24,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-08,FY24,4.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-09,FY24,3.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-10,FY24,1.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-11,FY24,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2023-12,FY24,1.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-01,FY24,0.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-02,FY24,5.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-03,FY24,2.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-04,FY25,2.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-05,FY25,2.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-06,FY25,3.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-07,FY25,2.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-08,FY25,4.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-09,FY25,2.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-10,FY25,1.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-11,FY25,2.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2024-12,FY25,3.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2025-01,FY25,1.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2025-02,FY25,3.0,,47,2.5
acq_filed,Practice acquisitions filed,Companies House,Regulatory filings,0.95,per month,2025-03,FY25,1.0,,47,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2022-10,FY23,142.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2022-11,FY23,142.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2022-12,FY23,142.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-01,FY23,142.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-02,FY23,142.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-03,FY23,142.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-04,FY24,143.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-05,FY24,143.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-06,FY24,147.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-07,FY24,147.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-08,FY24,151.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-09,FY24,154.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-10,FY24,155.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-11,FY24,155.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2023-12,FY24,156.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-01,FY24,156.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-02,FY24,161.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-03,FY24,163.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-04,FY25,165.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-05,FY25,167.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-06,FY25,170.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-07,FY25,172.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-08,FY25,176.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-09,FY25,178.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-10,FY25,179.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-11,FY25,181.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2024-12,FY25,184.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2025-01,FY25,185.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2025-02,FY25,188.0,,189,2.5
estate,Practices in the estate,Companies House,Regulatory filings,0.95,practices,2025-03,FY25,189.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2022-10,FY23,96.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2022-11,FY23,97.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2022-12,FY23,98.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-01,FY23,99.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-02,FY23,100.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-03,FY23,101.0,,189,2.5
