site_id,name,town,x,y,fmt,sqft,opened_month,brand,attract
C001,Pennington's Wrenfield,Wrenfield,112.46084390913391,66.69038723885113,Retail Park,2171,13,Pennington's,1.80368502627025
C002,Cobb Street Co Wrenfield,Wrenfield,113.07174645208299,60.830823964858396,High Street,1598,25,Cobb Street Co,1.1905703250970574
C003,Pennington's Tarnbrook,Tarnbrook,109.24681747667067,134.24087825398635,High Street,1077,61,Pennington's,0.9583109799664703
C004,Fold & Crumb Stanbury,Stanbury,180.21192737269877,99.15180094854044,High Street,1434,39,Fold & Crumb,1.121733940451611
C005,Fold & Crumb Stanbury,Stanbury,181.80122421800408,91.78955058242602,High Street,2092,85,Fold & Crumb,1.3806918187311947
C006,The Daily Loaf Oakmere,Oakmere,29.009730121222788,61.15328061673872,High Street,2767,94,The Daily Loaf,1.6102483576403912
C007,Pennington's Ashcombe,Ashcombe,146.50170230035496,141.65130085405923,High Street,1906,53,Pennington's,1.3117631311474134
C008,The Daily Loaf Tarnbrook,Tarnbrook,97.2478808962817,132.57297508126007,Transport Hub,2490,16,The Daily Loaf,1.3067602625721655
C009,Pennington's Oakmere,Oakmere,24.90838975519465,53.35147613380308,Retail Park,2345,65,Pennington's,1.881812560014361
C010,The Daily Loaf Ashcombe,Ashcombe,157.01810884439965,133.00751229229436,High Street,2109,53,The Daily Loaf,1.386851454084905
C011,Marchetti Elmsford,Elmsford,77.23161935810494,87.60311413024282,High Street,2300,67,Marchetti,1.4545817593386614
C012,Fold & Crumb Ravensmoor,Ravensmoor,168.91347560355493,40.178429274711114,High Street,700,43,Fold & Crumb,0.7561217822788797
C013,The Daily Loaf Oakmere,Oakmere,28.014119982570374,62.54828535769313,High Street,2204,37,The Daily Loaf,1.4208695328331657
C014,The Daily Loaf Ravensmoor,Ravensmoor,163.85503272748653,49.65645045836818,Transport Hub,2167,2,The Daily Loaf,1.2106223288219145
C015,Marchetti Tarnbrook,Tarnbrook,95.79411387505351,134.43716300119516,High Street,1403,84,Marchetti,1.1083311679152552
C016,Marchetti Wrenfield,Wrenfield,115.38561700906885,63.789444444832,Retail Park,700,36,Marchetti,0.9678358813169661
C017,Marchetti Ashcombe,Ashcombe,148.3628046580514,155.58799005424396,High Street,1642,23,Marchetti,1.2084900008714934
C018,Cobb Street Co Marlcombe,Marlcombe,194.22465402237265,155.43548140222742,High Street,1021,43,Cobb Street Co,0.9305762952983473
C019,Pennington's Elmsford,Elmsford,90.33956495200755,88.06922126769366,High Street,781,81,Pennington's,0.8030561196705256
C020,Fold & Crumb Stanbury,Stanbury,184.0988046868476,92.36157882572384,High Street,1839,16,Fold & Crumb,1.2861978474618867
C021,Cobb Street Co Ledbury Cross,Ledbury Cross,73.82893567855527,164.27778326670594,Transport Hub,1428,54,Cobb Street Co,0.962469093948547
C022,The Daily Loaf Stanbury,Stanbury,181.98354982133233,100.16514596736772,High Street,1812,49,The Daily Loaf,1.2757771919958147
C023,Marchetti Marlcombe,Marlcombe,201.32251182895197,148.62625414285188,High Street,1719,11,Marchetti,1.2393374106849862
C024,Cobb Street Co Tarnbrook,Tarnbrook,100.99052199107251,136.07539373881286,High Street,1174,21,Cobb Street Co,1.0048593563967976
C025,Marchetti Wrenfield,Wrenfield,121.56890314839669,71.92790382062816,High Street,1694,24,Marchetti,1.2293914845862128
