oa_id,town,x,y,population,mosaic,mosaic_name,urbanity,panel_devices,panel_rate_observed
OA00001,Tarnbrook,90.75363246083107,138.63879732439838,2026,C,Country Living,0.215,33,0.016288252714708785
OA00002,Tarnbrook,93.68724972375783,124.56301163107426,2788,D,Rural Reality,0.243,45,0.016140602582496413
OA00003,Tarnbrook,86.98553547228488,127.2903568661996,3996,C,Country Living,0.157,68,0.01701701701701702
OA00004,Tarnbrook,96.43847317543914,129.89471212308598,3912,I,Family Basics,0.676,145,0.03706543967280164
OA00005,Tarnbrook,94.27649042122957,131.76603606600096,4004,N,Urban Cohesion,0.729,185,0.0462037962037962
OA00006,Tarnbrook,95.13861229644263,131.9783113853732,3526,E,Senior Security,0.855,58,0.016449234259784458
OA00007,Tarnbrook,91.5563113071665,131.5281711516968,3927,B,Prestige Positions,0.444,104,0.02648332060096766
OA00008,Tarnbrook,101.59169852527802,145.83521092294095,2340,A,City Prosperity,0.066,155,0.06623931623931624
OA00009,Tarnbrook,91.29916616908228,128.81507709434234,5360,L,Vintage Value,0.356,70,0.013059701492537313
OA00010,Tarnbrook,90.45103278147639,134.33391088046628,4452,E,Senior Security,0.335,66,0.014824797843665768
OA00011,Tarnbrook,97.64016315238615,134.13548084443383,3462,F,Suburban Stability,0.613,94,0.027151935297515885
OA00012,Tarnbrook,97.58367822850967,125.55108168621116,2871,G,Domestic Success,0.299,88,0.03065134099616858
OA00013,Tarnbrook,96.13522717325525,131.0052106653991,2567,J,Transient Renters,0.833,176,0.06856252434748734
OA00014,Tarnbrook,101.3947664712336,119.7449662633687,2609,F,Suburban Stability,0.088,63,0.02414718282866999
OA00015,Tarnbrook,103.00446230432202,134.22654683540367,4309,G,Domestic Success,0.263,131,0.03040148526340218
OA00016,Tarnbrook,94.76350555960349,132.2769138306668,3569,K,Municipal Challenge,0.794,140,0.039226674138414123
OA00017,Tarnbrook,96.2663040130327,136.71551053429494,2224,L,Vintage Value,0.424,18,0.008093525179856115
