date,period,customer_id,customer_name,segment,channel,region,currency,cohort,order_type,invoice_id,sku,sku_name,product_family,quantity,unit_price_local,unit_price_gbp,fx_rate_gbp_per_eur,revenue_local,revenue_gbp,revenue_gbp_cc,unit_cost_gbp,cogs_gbp,fiscal_year,fiscal_quarter
2023-04-01,2023-04,C0398,Vandermeer Finishing Ltd,Distributor,Distributor,UK - Midlands,GBP,Existing (pre-FY24),Standard,INV-018955,PU-1215,Architectural Etch Primer 121,Architectural Trade,8,61.01,61.01,0.856,488.11,488.11,488.11,47.9,383.23,FY24,FY24 Q1
2023-04-01,2023-04,C0443,Stanmore Trade Centre,Distributor,National Accounts,EU - Benelux,EUR,Existing (pre-FY24),Standard,INV-023728,MX-1012,Industrial Etch Primer 949,Industrial Protective,8,96.13,82.87,0.856,769.05,658.31,662.96,66.61,532.88,FY24,FY24 Q1
2023-04-01,2023-04,C0443,Stanmore Trade Centre,Distributor,National Accounts,EU - Benelux,EUR,Existing (pre-FY24),Standard,INV-023728,PR-1007,Industrial Clearcoat 512,Industrial Protective,11,103.42,89.15,0.856,1137.63,973.81,980.68,68.21,750.26,FY24,FY24 Q1
2023-04-01,2023-04,C0030,Halstead Coatings Group,Mid-Market,Direct Sales,UK - South,GBP,Existing (pre-FY24),Standard,INV-004868,PR-1011,Industrial Primer 364,Industrial Protective,4,148.22,148.22,0.856,592.9,592.9,592.9,90.65,362.59,FY24,FY24 Q1
2023-04-01,2023-04,C0030,Halstead Coatings Group,Mid-Market,Direct Sales,UK - South,GBP,Existing (pre-FY24),Standard,INV-004868,MX-1002,Industrial Intermediate 850,Industrial Protective,5,187.88,187.88,0.856,939.41,939.41,939.41,114.22,571.1,FY24,FY24 Q1
2023-04-01,2023-04,C0030,Halstead Coatings Group,Mid-Market,Direct Sales,UK - South,GBP,Existing (pre-FY24),Standard,INV-004868,PR-1005,Industrial Basecoat 645,Industrial Protective,6,132.0,132.0,0.856,792.02,792.02,792.02,79.21,475.29,FY24,FY24 Q1
2023-04-01,2023-04,C0030,Halstead Coatings Group,Mid-Market,Direct Sales,UK - South,GBP,Existing (pre-FY24),Standard,INV-004868,PR-1013,Industrial Sealer 927,Industrial Protective,1,157.53,157.53,0.856,157.53,157.53,157.53,100.52,100.52,FY24,FY24 Q1
2023-04-01,2023-04,C0395,Harlow Finishing Ltd,Distributor,Distributor,UK - South,GBP,Existing (pre-FY24),Standard,INV-018692,PR-1013,Industrial Sealer 927,Industrial Protective,3,132.41,132.41,0.856,397.23,397.23,397.23,100.52,301.55,FY24,FY24 Q1
2023-04-01,2023-04,C0395,Harlow Finishing Ltd,Distributor,Distributor,UK - South,GBP,Existing (pre-FY24),Standard,INV-018692,DX-1106,Marine Thinner 814,Marine & Offshore,2,181.76,181.76,0.856,363.52,363.52,363.52,121.73,243.45,FY24,FY24 Q1
2023-04-01,2023-04,C0244,Alderley Fabrications,SME,E-commerce,UK - South,GBP,Existing (pre-FY24),Standard,INV-014671,EP-1212,Architectural Thinner 608,Architectural Trade,2,51.63,51.63,0.856,103.25,103.25,103.25,34.08,68.15,FY24,FY24 Q1
