asset_id,cost_centre,division,site,asset_class,cost,nbv
FA000001,TP-OPS,Thermal Products,TP-OPS site,IT equipment,57727.42,8386.73
FA000002,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,80012.65,20577.77
FA000003,TP-OPS,Thermal Products,TP-OPS site,IT equipment,86357.75,48610.78
FA000004,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,82158.78,36811.04
FA000005,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,67977.39,38260.7
FA000006,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,86906.35,32217.32
FA000007,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,55304.85,42051.51
FA000008,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,72740.4,16583.04
FA000009,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,92698.86,85320.88
FA000010,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,56190.89,15583.42
FA000011,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,81132.48,84160.49
FA000012,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,64447.4,15253.42
FA000013,TP-OPS,Thermal Products,TP-OPS site,IT equipment,91656.34,65270.15
FA000014,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,88376.79,30616.49
FA000015,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,64397.26,65098.29
FA000016,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,74399.97,38718.75
FA000017,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,70535.1,19232.26
FA000018,TP-OPS,Thermal Products,TP-OPS site,IT equipment,93150.24,46396.15
FA000019,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,81029.03,50827.51
FA000020,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,54443.12,12501.32
FA000021,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,77028.34,41194.68
FA000022,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,82676.03,38701.02
FA000023,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,59377.94,53739.66
FA000024,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,83133.93,30767.08
FA000025,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,85150.71,52962.32
FA000026,TP-OPS,Thermal Products,TP-OPS site,IT equipment,97381.33,102944.08
FA000027,TP-OPS,Thermal Products,TP-OPS site,IT equipment,92894.73,18446.22
FA000028,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,61450.5,21066.73
FA000029,TP-OPS,Thermal Products,TP-OPS site,IT equipment,95964.12,29892.8
FA000030,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,91457.7,31387.4
FA000031,TP-OPS,Thermal Products,TP-OPS site,IT equipment,57271.46,21303.52
FA000032,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,74934.61,39207.01
FA000033,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,62250.47,38795.5
FA000034,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,83531.3,35905.68
FA000035,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,95927.98,22208.17
FA000036,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,84970.92,24701.81
FA000037,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,86147.81,35671.0
FA000038,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,66198.57,23531.27
FA000039,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,73194.66,38900.76
FA000040,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,80256.31,46675.99
FA000041,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,70911.51,45555.85
FA000042,TP-OPS,Thermal Products,TP-OPS site,IT equipment,57311.67,144163.24
FA000043,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,53465.8,39731.35
FA000044,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,91134.07,30782.22
FA000045,TP-OPS,Thermal Products,TP-OPS site,IT equipment,91843.39,42382.74
FA000046,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,71299.59,42282.25
FA000047,TP-OPS,Thermal Products,TP-OPS site,IT equipment,80344.53,37605.15
FA000048,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,71460.16,46910.84
FA000049,TP-OPS,Thermal Products,TP-OPS site,IT equipment,70721.02,24352.98
FA000050,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,60229.45,20260.5
FA000051,TP-OPS,Thermal Products,TP-OPS site,IT equipment,74694.76,53663.95
FA000052,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,83295.14,43814.64
FA000053,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,88240.44,38583.03
FA000054,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,76343.37,25986.0
FA000055,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,94675.42,36586.51
FA000056,TP-OPS,Thermal Products,TP-OPS site,IT equipment,90020.07,22055.79
FA000057,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,90647.37,50249.88
FA000058,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,71963.54,31606.72
FA000059,TP-OPS,Thermal Products,TP-OPS site,IT equipment,83337.33,43494.92
FA000060,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,68930.42,21030.94
FA000061,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,67265.29,23002.41
FA000062,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,90647.04,29248.45
FA000063,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,54677.73,19985.57
FA000064,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,78427.92,30312.72
FA000065,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,91966.61,31690.82
FA000066,TP-OPS,Thermal Products,TP-OPS site,IT equipment,54231.37,29599.71
FA000067,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,65283.93,39629.12
FA000068,TP-OPS,Thermal Products,TP-OPS site,IT equipment,81134.9,76531.24
FA000069,TP-OPS,Thermal Products,TP-OPS site,IT equipment,81240.91,35043.5
FA000070,TP-OPS,Thermal Products,TP-OPS site,IT equipment,89431.81,78562.4
FA000071,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,81535.68,28179.11
FA000072,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,64299.99,12510.78
FA000073,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,86732.64,24750.05
FA000074,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,58970.11,16805.54
FA000075,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,90435.72,37181.69
FA000076,TP-OPS,Thermal Products,TP-OPS site,IT equipment,73215.21,39711.8
FA000077,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,94576.36,21880.22
FA000078,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,56219.21,113891.6
FA000079,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,93425.7,65182.53
FA000080,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,66649.36,20450.06
FA000081,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,58099.3,26900.79
FA000082,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,95257.52,23100.02
FA000083,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,76631.05,12181.98
FA000084,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,67391.4,46711.28
FA000085,TP-OPS,Thermal Products,TP-OPS site,IT equipment,97022.67,14831.17
FA000086,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,59330.55,25401.99
FA000087,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,58407.2,38090.24
FA000088,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,66739.13,37168.5
FA000089,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,86364.47,51421.48
FA000090,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,69983.9,26620.2
FA000091,TP-OPS,Thermal Products,TP-OPS site,IT equipment,79108.75,49344.84
FA000092,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,72970.19,35243.11
FA000093,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,78499.27,20924.13
FA000094,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,68294.47,25177.43
FA000095,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,74451.92,37061.92
FA000096,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,56178.99,27566.37
FA000097,TP-OPS,Thermal Products,TP-OPS site,IT equipment,93308.22,25432.24
FA000098,TP-OPS,Thermal Products,TP-OPS site,IT equipment,71059.17,50257.06
FA000099,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,72276.16,45326.07
FA000100,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,61111.6,18749.75
FA000101,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,73550.13,49779.43
FA000102,TP-OPS,Thermal Products,TP-OPS site,IT equipment,97977.6,36557.99
FA000103,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,58679.18,24451.52
FA000104,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,63818.35,76647.57
FA000105,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,96885.48,20213.23
FA000106,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,94357.37,25054.27
FA000107,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,65366.45,17571.36
FA000108,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,88784.01,19738.75
FA000109,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,97503.73,12866.61
FA000110,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,61951.56,72584.29
FA000111,TP-OPS,Thermal Products,TP-OPS site,IT equipment,73220.94,39179.12
FA000112,TP-OPS,Thermal Products,TP-OPS site,IT equipment,97446.62,21601.82
FA000113,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,68278.49,27437.44
