service,consumer,units
SH-IT,TP-OPS,374.74592866993913
SH-IT,TP-SALES,72.16162922836806
SH-IT,TP-ENG,52.53837129215431
SH-IT,FC-OPS,414.3082027722411
SH-IT,FC-SALES,98.21990447564875
SH-IT,FC-ENG,99.74758108071866
SH-IT,ES-OPS,376.3505427888704
SH-IT,ES-SALES,145.8529486608064
SH-IT,ES-ENG,78.81192508188582
SH-IT,SH-HR,387.0716860941093
SH-IT,SH-FIN,927.6160366209044
SH-IT,SH-FAC,238.10540384463516
SH-IT,SH-PROC,150.2450030993601
SH-IT,CO-EXEC,51.3936135063666
SH-IT,CO-LEGAL,32.115163683994986
SH-IT,CO-TREAS,25.558170188318694
SH-IT,CO-IR,15.224950052254943
SH-HR,TP-OPS,377.4840704779595
SH-HR,TP-SALES,127.24861859423471
SH-HR,TP-ENG,61.90429858495686
SH-HR,FC-OPS,561.5315490334732
SH-HR,FC-SALES,154.97033353726098
SH-HR,FC-ENG,97.22015102308599
SH-HR,ES-OPS,321.66409824796506
SH-HR,ES-SALES,80.21890100860057
SH-HR,ES-ENG,45.64862088757963
SH-HR,SH-IT,118.91932990288649
SH-HR,SH-FIN,63.00390282257822
SH-HR,SH-FAC,52.06304072695232
SH-HR,SH-PROC,21.36535344328088
SH-HR,CO-EXEC,32.20453460850157
SH-HR,CO-LEGAL,23.11833307425891
SH-HR,CO-TREAS,17.197352446397424
SH-HR,CO-IR,10.039912646806695
SH-FIN,TP-OPS,1295.930338276547
SH-FIN,TP-SALES,433.4397009869664
SH-FIN,TP-ENG,233.05036369263675
SH-FIN,FC-OPS,4471.177536027453
SH-FIN,FC-SALES,1115.7828021920427
SH-FIN,FC-ENG,779.2726191082348
SH-FIN,ES-OPS,1542.6138019967732
SH-FIN,ES-SALES,353.57022625039406
SH-FIN,ES-ENG,307.17921565414207
SH-FIN,SH-IT,233.99254115043152
SH-FIN,SH-HR,83.43959987510837
SH-FIN,SH-FAC,126.51576788339912
SH-FIN,SH-PROC,133.62265259313216
SH-FIN,CO-EXEC,65.3630320275266
SH-FIN,CO-LEGAL,48.87305161958143
SH-FIN,CO-TREAS,31.995526222203075
SH-FIN,CO-IR,20.49403641564097
SH-FAC,TP-OPS,19885.69187345255
SH-FAC,TP-SALES,8104.161341203947
SH-FAC,TP-ENG,5522.548572111123
SH-FAC,FC-OPS,16841.070945424486
SH-FAC,FC-SALES,3379.437673726828
SH-FAC,FC-ENG,2635.050578592696
SH-FAC,ES-OPS,7730.470959479168
SH-FAC,ES-SALES,1563.3692876789382
SH-FAC,ES-ENG,1436.1711906449364
SH-FAC,SH-IT,569.5233967524701
SH-FAC,SH-HR,216.89345212175562
SH-FAC,SH-FIN,390.3235804717342
SH-FAC,SH-PROC,94.74720152860998
SH-FAC,CO-EXEC,408.1970063577947
SH-FAC,CO-LEGAL,193.7459918572559
SH-FAC,CO-TREAS,195.97453099760074
SH-FAC,CO-IR,140.02743162321497
SH-PROC,TP-OPS,6699.559131531822
SH-PROC,TP-SALES,1959.703350155148
SH-PROC,TP-ENG,940.5655835361257
SH-PROC,FC-OPS,7038.876908299357
SH-PROC,FC-SALES,1269.9105184824102
SH-PROC,FC-ENG,1132.6525169326794
SH-PROC,ES-OPS,2277.5900157160845
SH-PROC,ES-SALES,736.809335213397
SH-PROC,ES-ENG,374.84088310122786
SH-PROC,SH-IT,845.4188427101993
SH-PROC,SH-HR,30.782756599380235
SH-PROC,SH-FIN,123.45428441143345
SH-PROC,SH-FAC,388.20785592729777
SH-PROC,CO-EXEC,108.73966950670379
SH-PROC,CO-LEGAL,57.42067781927585
SH-PROC,CO-TREAS,35.69612033446729
SH-PROC,CO-IR,28.033108295293385
