doc_id,name,category,folder,pages,uploaded_day,relevance,heat
D0001,Net debt bridge 12,Financial,01 Financial,23,2,0.8605506399092525,1.0
D0002,Net debt bridge 26,Financial,01 Financial,29,4,0.9163261340948254,1.0
D0003,Capex schedule 19,Financial,01 Financial,30,16,0.8743880887784619,1.0
D0004,Budget and forecast model 17,Financial,01 Financial,35,14,0.7732707785525231,1.0
D0005,Capex schedule 20,Financial,01 Financial,15,10,0.0393424595419217,1.0
D0006,Budget and forecast model 6,Financial,01 Financial,22,10,0.7203219832423364,1.0
D0007,Net debt bridge 8,Financial,01 Financial,21,16,0.04385922346606849,1.0
D0008,Capex schedule 14,Financial,01 Financial,21,0,4.11073278777698,1.0
D0009,Budget and forecast model 38,Financial,01 Financial,25,17,0.006532295861013348,1.0
D0010,Audited statutory accounts 4,Financial,01 Financial,19,16,1.20300749755586,1.0
D0011,Debtor ageing 34,Financial,01 Financial,23,4,0.041107961574885526,1.0
D0012,Net debt bridge 12,Financial,01 Financial,34,17,1.6448684535644962,1.0
D0013,Net debt bridge 33,Financial,01 Financial,31,14,1.2656099634540305,1.0
D0014,Debtor ageing 18,Financial,01 Financial,19,7,0.6706616349764702,1.0
D0015,Budget and forecast model 23,Financial,01 Financial,27,2,2.6142673797942377,1.0
D0016,Audited statutory accounts 33,Financial,01 Financial,24,2,0.004904030904338967,1.0
D0017,Audited statutory accounts 12,Financial,01 Financial,33,6,0.4305663193580037,1.0
D0018,Net debt bridge 30,Financial,01 Financial,21,13,2.2808953373789422,1.0
D0019,Budget and forecast model 2,Financial,01 Financial,25,6,0.7457098783387605,1.0
D0020,Audited statutory accounts 11,Financial,01 Financial,24,11,1.0117269886530524,1.0
D0021,Net debt bridge 37,Financial,01 Financial,20,17,0.6330904428632846,1.0
D0022,Net debt bridge 9,Financial,01 Financial,27,4,1.1349208222961806,1.0
D0023,Audited statutory accounts 21,Financial,01 Financial,33,13,0.012203629371579407,1.0
D0024,Divisional trading pack 33,Financial,01 Financial,32,3,1.1677798177407188,1.0
D0025,Budget and forecast model 22,Financial,01 Financial,39,1,1.8721058560511286,1.0
D0026,Capex schedule 9,Financial,01 Financial,27,0,0.5796390151079539,1.0
D0027,Trading by product line 38,Financial,01 Financial,25,17,0.016604497201451955,1.0
D0028,Trading by product line 18,Financial,01 Financial,28,10,1.5148035779465354,1.0
D0029,Net debt bridge 8,Financial,01 Financial,27,9,1.2720509360901306,1.0
D0030,Audited statutory accounts 13,Financial,01 Financial,24,5,0.02781952819690025,1.0
D0031,Debtor ageing 39,Financial,01 Financial,25,4,0.7704187871686273,1.0
D0032,Debtor ageing 10,Financial,01 Financial,28,7,0.7606660865740972,1.0
D0033,Debtor ageing 32,Financial,01 Financial,25,6,0.04492530815169925,1.0
D0034,Budget and forecast model 33,Financial,01 Financial,34,5,1.157435481636472,1.0
D0035,Net debt bridge 12,Financial,01 Financial,25,16,0.02905143000983665,1.0
D0036,Debtor ageing 21,Financial,01 Financial,27,16,1.7180277320506099,1.0
D0037,Divisional trading pack 18,Financial,01 Financial,27,14,1.3060297916484327,1.0
D0038,Budget and forecast model 39,Financial,01 Financial,25,9,1.1138333040402224,1.0
D0039,Capex schedule 9,Financial,01 Financial,17,2,0.8642475418795794,1.0
D0040,Audited statutory accounts 18,Financial,01 Financial,18,9,0.5915193149702925,1.0
D0041,Budget and forecast model 39,Financial,01 Financial,23,3,0.01578016246222985,1.0
D0042,Net debt bridge 20,Financial,01 Financial,34,0,0.8228719776871948,1.0
D0043,Capex schedule 22,Financial,01 Financial,31,4,0.8853773057979423,1.0
D0044,Capex schedule 11,Financial,01 Financial,31,5,0.8461059041271753,1.0
D0045,Audited statutory accounts 12,Financial,01 Financial,27,8,0.013874684688977833,1.0
D0046,Capex schedule 10,Financial,01 Financial,21,4,0.7553027000854013,1.0
D0047,Capex schedule 34,Financial,01 Financial,23,3,0.4588936190388663,1.0
D0048,Net debt bridge 7,Financial,01 Financial,31,0,0.6690557471399253,1.0
D0049,Capex schedule 19,Financial,01 Financial,29,16,0.7669965885094849,1.0
D0050,Audited statutory accounts 24,Financial,01 Financial,25,2,0.5843045981959127,1.0
D0051,Net debt bridge 19,Financial,01 Financial,32,10,0.8833610795823071,1.0
D0052,Divisional trading pack 5,Financial,01 Financial,30,14,0.6595016740649852,1.0
D0053,Net debt bridge 33,Financial,01 Financial,31,3,2.8970290750220693,1.0
D0054,Audited statutory accounts 28,Financial,01 Financial,30,14,1.482050602875234,1.0
D0055,Audited statutory accounts 26,Financial,01 Financial,35,13,0.5259484952721555,1.0
D0056,Audited statutory accounts 35,Financial,01 Financial,25,7,1.235474228262929,1.0
D0057,Debtor ageing 33,Financial,01 Financial,25,1,1.3439588592655278,1.0
D0058,Debtor ageing 8,Financial,01 Financial,33,7,1.6974645036888716,1.0
D0059,Trading by product line 15,Financial,01 Financial,33,5,1.2236005152563598,1.0
D0060,Trading by product line 19,Financial,01 Financial,30,2,0.634791575510412,1.0
D0061,Budget and forecast model 21,Financial,01 Financial,23,5,0.004900183419498577,1.0
D0062,Divisional trading pack 34,Financial,01 Financial,28,10,0.7791605657479576,1.0
D0063,Capex schedule 24,Financial,01 Financial,24,17,1.353320704975037,1.0
D0064,Debtor ageing 37,Financial,01 Financial,25,4,0.7987321637297962,1.0
D0065,Net debt bridge 28,Financial,01 Financial,35,8,0.022178925684414947,1.0
D0066,Net debt bridge 11,Financial,01 Financial,21,11,1.233918138103342,1.0
D0067,Divisional trading pack 17,Financial,01 Financial,33,15,0.008948108913506076,1.0
D0068,Capex schedule 38,Financial,01 Financial,30,17,0.9264441734254683,1.0
D0069,Debtor ageing 4,Financial,01 Financial,27,10,0.030481164431176447,1.0
D0070,Debtor ageing 37,Financial,01 Financial,21,1,0.9628354135445312,1.0
D0071,Budget and forecast model 1,Financial,01 Financial,27,8,0.5499516061976136,1.0
D0072,Capex schedule 15,Financial,01 Financial,22,12,0.7720599372704299,1.0
D0073,Divisional trading pack 7,Financial,01 Financial,33,1,0.03925493850763212,1.0
D0074,Trading by product line 27,Financial,01 Financial,26,11,0.7914991599726239,1.0
D0075,Framework agreement 35,Commercial & Customers,02 Commercial & Customers,24,10,1.295294077099451,1.0
D0076,Order book analysis 36,Commercial & Customers,02 Commercial & Customers,14,7,0.03476693121714668,1.0
D0077,Distribution agreement 17,Commercial & Customers,02 Commercial & Customers,21,14,2.348429263820281,1.0
D0078,Pricing schedule 1,Commercial & Customers,02 Commercial & Customers,25,10,0.03227377979665686,1.0
D0079,Pricing schedule 20,Commercial & Customers,02 Commercial & Customers,23,4,1.4467508567077754,1.0
D0080,Customer contract 10,Commercial & Customers,02 Commercial & Customers,22,0,0.2875427031270567,1.0
D0081,Tender pipeline 24,Commercial & Customers,02 Commercial & Customers,14,7,1.3969434939629237,1.0
D0082,Pricing schedule 23,Commercial & Customers,02 Commercial & Customers,17,5,0.037315206013696214,1.0
D0083,Pricing schedule 5,Commercial & Customers,02 Commercial & Customers,25,14,0.01317178557713411,1.0
D0084,Distribution agreement 13,Commercial & Customers,02 Commercial & Customers,22,6,4.315352161067037,1.0
D0085,Revenue by customer 5,Commercial & Customers,02 Commercial & Customers,15,0,0.5523130212505194,1.0
D0086,Revenue by customer 5,Commercial & Customers,02 Commercial & Customers,19,6,1.1293824905892649,1.0
D0087,Tender pipeline 15,Commercial & Customers,02 Commercial & Customers,19,8,0.037637875760203346,1.0
D0088,Revenue by customer 11,Commercial & Customers,02 Commercial & Customers,22,16,0.7491468248197511,1.0
D0089,Framework agreement 5,Commercial & Customers,02 Commercial & Customers,20,11,0.0357629086038488,1.0
D0090,Framework agreement 3,Commercial & Customers,02 Commercial & Customers,28,0,0.7108312868858117,1.0
D0091,Revenue by customer 11,Commercial & Customers,02 Commercial & Customers,15,17,0.01941863560620029,1.0
D0092,Framework agreement 32,Commercial & Customers,02 Commercial & Customers,22,7,1.434681867046544,1.0
D0093,Tender pipeline 35,Commercial & Customers,02 Commercial & Customers,18,11,0.015296988578030787,1.0
D0094,Framework agreement 10,Commercial & Customers,02 Commercial & Customers,15,7,0.7780020646484224,1.0
D0095,Tender pipeline 21,Commercial & Customers,02 Commercial & Customers,20,17,2.187736329075711,1.0
D0096,Order book analysis 23,Commercial & Customers,02 Commercial & Customers,19,9,0.999131544189923,1.0
D0097,Framework agreement 20,Commercial & Customers,02 Commercial & Customers,20,0,0.8241815280477374,1.0
D0098,Tender pipeline 26,Commercial & Customers,02 Commercial & Customers,17,2,0.024186864877411916,1.0
D0099,Revenue by customer 29,Commercial & Customers,02 Commercial & Customers,19,4,0.623688031343562,1.0
D0100,Distribution agreement 33,Commercial & Customers,02 Commercial & Customers,19,15,0.04162259015706214,1.0
D0101,Distribution agreement 10,Commercial & Customers,02 Commercial & Customers,20,16,0.978102703044652,1.0
D0102,Order book analysis 30,Commercial & Customers,02 Commercial & Customers,14,12,1.3271970593444091,1.0
D0103,Revenue by customer 35,Commercial & Customers,02 Commercial & Customers,17,8,0.7390574444436624,1.0
D0104,Tender pipeline 33,Commercial & Customers,02 Commercial & Customers,15,13,1.2301582807288782,1.0
D0105,Revenue by customer 36,Commercial & Customers,02 Commercial & Customers,19,15,0.9166588034896163,1.0
D0106,Order book analysis 22,Commercial & Customers,02 Commercial & Customers,20,5,1.3685748657743944,1.0
D0107,Pricing schedule 27,Commercial & Customers,02 Commercial & Customers,15,12,0.6986565992045487,1.0
D0108,Tender pipeline 6,Commercial & Customers,02 Commercial & Customers,14,2,0.009165156583792307,1.0
D0109,Distribution agreement 1,Commercial & Customers,02 Commercial & Customers,20,1,0.03169107246923179,1.0
D0110,Distribution agreement 8,Commercial & Customers,02 Commercial & Customers,15,6,0.8516719961995768,1.0
D0111,Tender pipeline 3,Commercial & Customers,02 Commercial & Customers,17,4,0.028853180144277943,1.0
D0112,Customer contract 7,Commercial & Customers,02 Commercial & Customers,24,16,0.008492317404441048,1.0
D0113,Pricing schedule 21,Commercial & Customers,02 Commercial & Customers,25,11,0.01821595130937318,1.0
D0114,Order book analysis 23,Commercial & Customers,02 Commercial & Customers,16,12,0.021930753201214397,1.0
D0115,Pricing schedule 22,Commercial & Customers,02 Commercial & Customers,22,15,1.3721332984626216,1.0
D0116,Pricing schedule 1,Commercial & Customers,02 Commercial & Customers,16,10,0.02449222530464453,1.0
D0117,Distribution agreement 18,Commercial & Customers,02 Commercial & Customers,11,14,0.814366114308934,1.0
D0118,Framework agreement 23,Commercial & Customers,02 Commercial & Customers,22,0,0.7052364168006046,1.0
D0119,Customer contract 1,Commercial & Customers,02 Commercial & Customers,18,2,1.0407796564880776,1.0
D0120,Customer contract 15,Commercial & Customers,02 Commercial & Customers,15,3,2.0227615978791103,1.0
D0121,Order book analysis 24,Commercial & Customers,02 Commercial & Customers,14,11,0.032822439768480774,1.0
