stage,type,delivered,realisation,days_in_stage
In execution,Revenue,1,1.0217538778544017,31.94133334697281
Validated,Revenue,0,0.0,37.41199005830993
Validated,Cost,1,0.6084228112260355,23.73442043340741
Validated,Revenue,0,0.0,41.50727081297001
In execution,Cost,0,0.0,173.26007662103623
Identified,Cost,1,0.5656812938440334,95.49178955313363
Validated,Cost,1,0.8766594564877571,71.70981839600262
Delivered,Cost,1,0.5974444118592054,46.35366367207314
Delivered,Revenue,1,0.9680972159840532,108.1180236273724
Validated,Revenue,1,1.159787343701205,50.36573634362474
Validated,Revenue,0,0.0,81.29263535475442
Validated,Revenue,0,0.0,96.66691427553732
Delivered,Cost,1,0.8364373523132332,3.3074825201866624
Banked,Cost,1,0.7161716447636757,113.75411822298703
Validated,Cost,1,0.6188034971775506,26.912101764072812
Validated,Revenue,0,0.0,22.311936927609022
Banked,Cost,1,0.9498917865948713,24.249096480761164
Identified,Cost,0,0.0,126.10321922882129
Delivered,Cost,1,1.0812269084976553,23.31170939529273
Identified,Cost,0,0.0,109.80476502203167
Identified,Cost,0,0.0,87.74207542293671
Validated,Revenue,0,0.0,9.511936488864228
In execution,Cost,1,1.2064219310533484,107.04300600534636
Banked,Cost,1,0.7643547498449016,40.29155188727691
In execution,Cost,1,0.5510175864423517,113.28862068171951
In execution,Revenue,1,0.7395538516001335,56.371275706413535
In execution,Cost,1,0.8922104094089791,45.74724836337992
Identified,Cost,1,0.8926001000325995,32.99899263566981
Identified,Cost,0,0.0,46.523378349386746
Delivered,Cost,1,0.5294578596569777,44.84652895318649
In execution,Revenue,1,0.7275251760964138,39.786908244289506
Delivered,Cost,1,0.5834814007707001,38.32084434670713
Delivered,Revenue,1,0.8977257696596725,10.029888441701251
Validated,Cost,1,0.6544845159936188,21.453853239556118
Banked,Revenue,1,1.3081942511628073,6.702192825760381
In execution,Cost,1,0.718411288790823,33.149239255131256
Identified,Cost,0,0.0,122.70078350646517
Delivered,Cost,1,1.1444152475992089,51.24527669841354
Banked,Cost,1,0.8086074897099693,86.10083968082374
Identified,Cost,0,0.0,191.4311427103102
In execution,Cost,1,0.6817455981885259,87.99427650951208
Validated,Cost,1,1.3101116962859776,80.45419386071966
Delivered,Revenue,1,0.4269778042967366,108.59367018195954
Identified,Cost,0,0.0,53.35173787056238
Validated,Cost,1,0.5175678180019522,20.497117065984213
Identified,Cost,0,0.0,30.484529473292177
Banked,Cost,1,0.7642202873767933,119.60679312547177
Validated,Revenue,1,0.7229071770003984,94.28527591540758
Validated,Cost,1,0.8498677372426443,29.406051520028022
Identified,Cost,1,0.567076144823739,32.829221072127204
In execution,Cost,1,0.6112562164249498,60.42172028085831
Delivered,Cost,1,0.9506071471701766,165.85565607986214
Validated,Cost,0,0.0,68.21855391278643
Delivered,Cost,1,1.6637883998458065,49.043558898026305
Banked,Cost,1,1.0508538614437875,86.35983969395294
Validated,Revenue,0,0.0,45.136108797857
Delivered,Cost,1,1.0558885107760443,90.07267527597745
Identified,Cost,0,0.0,51.548535994113124
In execution,Cost,1,1.0202698935227972,34.59527735230289
Delivered,Cost,1,0.9323810163492536,10.082968916159988
Identified,Cost,0,0.0,55.30014696648397
Delivered,Cost,1,1.217745433864491,62.11229119895968
In execution,Cost,1,0.7306217603174423,43.45815083603459
Validated,Revenue,0,0.0,48.199295571241
Validated,Cost,1,1.0896978532054495,106.09150464517786
In execution,Cost,1,0.8912720110657958,33.28993654109773
Delivered,Cost,1,1.0813922928466424,84.54362655464338
Delivered,Cost,1,1.3532990245068173,35.188380083752
Banked,Cost,1,0.9873779346119866,85.24170034060101
In execution,Cost,1,0.9737906790645802,71.1971735852972
Validated,Cost,0,0.0,106.80954314631599
Banked,Cost,1,1.1504856184481007,67.11417943663203
Identified,Revenue,1,0.6584087505300412,97.82581175996856
Validated,Cost,0,0.0,116.09733778202052
Banked,Revenue,1,0.37637936529951055,59.64029154977638
Delivered,Cost,1,0.9950607805613347,46.70502046667862
In execution,Cost,1,1.5461835771791315,20.887907452525898
Validated,Revenue,0,0.0,96.67055759283505
Delivered,Cost,1,0.61157944985041,63.18947560947295
