month,initiative_id,workstream,type,in_year_benefit,runrate_recognised
4,S001,Procurement,Cost,23816.0,285790.0
5,S001,Procurement,Cost,37153.0,445833.0
6,S001,Procurement,Cost,47632.0,571580.0
7,S001,Procurement,Cost,47632.0,571580.0
8,S001,Procurement,Cost,47632.0,571580.0
9,S001,Procurement,Cost,47632.0,571580.0
10,S001,Procurement,Cost,47632.0,571580.0
11,S001,Procurement,Cost,47632.0,571580.0
12,S001,Procurement,Cost,47632.0,571580.0
13,S001,Procurement,Cost,47632.0,571580.0
14,S001,Procurement,Cost,47632.0,571580.0
12,S002,Procurement,Cost,40755.0,489057.0
13,S002,Procurement,Cost,63577.0,762929.0
14,S002,Procurement,Cost,81509.0,978114.0
7,S003,Procurement,Cost,4148.0,49776.0
8,S003,Procurement,Cost,6471.0,77650.0
9,S003,Procurement,Cost,8296.0,99551.0
10,S003,Procurement,Cost,8296.0,99551.0
11,S003,Procurement,Cost,8296.0,99551.0
12,S003,Procurement,Cost,8296.0,99551.0
13,S003,Procurement,Cost,8296.0,99551.0
14,S003,Procurement,Cost,8296.0,99551.0
8,S004,Procurement,Cost,33527.0,402323.0
9,S004,Procurement,Cost,52302.0,627624.0
10,S004,Procurement,Cost,67054.0,804646.0
11,S004,Procurement,Cost,67054.0,804646.0
12,S004,Procurement,Cost,67054.0,804646.0
13,S004,Procurement,Cost,67054.0,804646.0
14,S004,Procurement,Cost,67054.0,804646.0
4,S005,Procurement,Cost,28458.0,341499.0
5,S005,Procurement,Cost,44395.0,532739.0
6,S005,Procurement,Cost,56917.0,682999.0
7,S005,Procurement,Cost,56917.0,682999.0
8,S005,Procurement,Cost,56917.0,682999.0
9,S005,Procurement,Cost,56917.0,682999.0
10,S005,Procurement,Cost,56917.0,682999.0
11,S005,Procurement,Cost,56917.0,682999.0
12,S005,Procurement,Cost,56917.0,682999.0
13,S005,Procurement,Cost,56917.0,682999.0
14,S005,Procurement,Cost,56917.0,682999.0
6,S008,Procurement,Cost,15682.0,188185.0
7,S008,Procurement,Cost,24464.0,293568.0
8,S008,Procurement,Cost,31364.0,376370.0
9,S008,Procurement,Cost,31364.0,376370.0
10,S008,Procurement,Cost,31364.0,376370.0
11,S008,Procurement,Cost,31364.0,376370.0
12,S008,Procurement,Cost,31364.0,376370.0
13,S008,Procurement,Cost,31364.0,376370.0
14,S008,Procurement,Cost,31364.0,376370.0
6,S009,Procurement,Cost,40126.0,481512.0
7,S009,Procurement,Cost,62597.0,751158.0
8,S009,Procurement,Cost,80252.0,963023.0
9,S009,Procurement,Cost,80252.0,963023.0
10,S009,Procurement,Cost,80252.0,963023.0
11,S009,Procurement,Cost,80252.0,963023.0
12,S009,Procurement,Cost,80252.0,963023.0
13,S009,Procurement,Cost,80252.0,963023.0
14,S009,Procurement,Cost,80252.0,963023.0
1,S010,Organisation design,Cost,11619.0,139432.0
2,S010,Organisation design,Cost,18126.0,217514.0
3,S010,Organisation design,Cost,23239.0,278864.0
4,S010,Organisation design,Cost,23239.0,278864.0
5,S010,Organisation design,Cost,23239.0,278864.0
6,S010,Organisation design,Cost,23239.0,278864.0
7,S010,Organisation design,Cost,23239.0,278864.0
8,S010,Organisation design,Cost,23239.0,278864.0
9,S010,Organisation design,Cost,23239.0,278864.0
10,S010,Organisation design,Cost,23239.0,278864.0
11,S010,Organisation design,Cost,23239.0,278864.0
12,S010,Organisation design,Cost,23239.0,278864.0
13,S010,Organisation design,Cost,23239.0,278864.0
14,S010,Organisation design,Cost,23239.0,278864.0
